"Country","Activity","Minutes","Hours"
"UK","Attending events",7,0.1
"USA","Attending events",8,0.1
"China","Attending events",1,0
"India","Attending events",4,0.1
"South Africa","Attending events",5,0.1
"Australia","Seeing friends",40,0.7
"Austria","Seeing friends",81,1.4
"Belgium","Seeing friends",50,0.8
"Canada","Seeing friends",53,0.9
"Denmark","Seeing friends",81,1.4
"Estonia","Seeing friends",37,0.6
"Finland","Seeing friends",54,0.9
"France","Seeing friends",55,0.9
"Germany","Seeing friends",60,1
"Greece","Seeing friends",56,0.9
"Hungary","Seeing friends",35,0.6
"Ireland","Seeing friends",48,0.8
"Italy","Seeing friends",65,1.1
"Japan","Seeing friends",16,0.3
"Korea","Seeing friends",42,0.7
"Latvia","Seeing friends",35,0.6
"Lithuania","Seeing friends",31,0.5
"Luxembourg","Seeing friends",32,0.5
"Mexico","Seeing friends",44,0.7
"Netherlands","Seeing friends",72,1.2
"New Zealand","Seeing friends",69,1.1
"Norway","Seeing friends",57,0.9
"Poland","Seeing friends",45,0.8
"Portugal","Seeing friends",43,0.7
"Slovenia","Seeing friends",61,1
"Spain","Seeing friends",50,0.8
"Sweden","Seeing friends",52,0.9
"Turkey","Seeing friends",68,1.1
"UK","Seeing friends",47,0.8
"USA","Seeing friends",43,0.7
"China","Seeing friends",22,0.4
"India","Seeing friends",73,1.2
"South Africa","Seeing friends",82,1.4
"Australia","TV and Radio",140,2.3
"Austria","TV and Radio",108,1.8
"Belgium","TV and Radio",130,2.2
"Canada","TV and Radio",109,1.8
"Denmark","TV and Radio",122,2
"Estonia","TV and Radio",122,2
"Finland","TV and Radio",118,2
"France","TV and Radio",113,1.9
"Germany","TV and Radio",118,2
"Greece","TV and Radio",136,2.3
"Hungary","TV and Radio",133,2.2
"Ireland","TV and Radio",85,1.4
"Italy","TV and Radio",103,1.7
"Japan","TV and Radio",103,1.7
"Korea","TV and Radio",102,1.7
"Latvia","TV and Radio",123,2
"Lithuania","TV and Radio",136,2.3
"Luxembourg","TV and Radio",116,1.9
"Mexico","TV and Radio",65,1.1
"Netherlands","TV and Radio",112,1.9
"New Zealand","TV and Radio",124,2.1
"Norway","TV and Radio",128,2.1
"Poland","TV and Radio",121,2
"Portugal","TV and Radio",113,1.9
"Slovenia","TV and Radio",119,2
"Spain","TV and Radio",129,2.1
"Sweden","TV and Radio",113,1.9
"Turkey","TV and Radio",124,2.1
"UK","TV and Radio",133,2.2
"USA","TV and Radio",148,2.5
"China","TV and Radio",126,2.1
"India","TV and Radio",61,1
"South Africa","TV and Radio",131,2.2
"Australia","Other leisure activities",76,1.3
"Austria","Other leisure activities",59,1
"Belgium","Other leisure activities",121,2
"Canada","Other leisure activities",89,1.5
"Denmark","Other leisure activities",94,1.6
"Estonia","Other leisure activities",114,1.9
"Finland","Other leisure activities",113,1.9
"France","Other leisure activities",97,1.6
"Germany","Other leisure activities",112,1.9
"Greece","Other leisure activities",115,1.9
"Hungary","Other leisure activities",93,1.6
"Ireland","Other leisure activities",116,1.9
"Italy","Other leisure activities",110,1.8
"Japan","Other leisure activities",147,2.5
"Korea","Other leisure activities",82,1.4
"Latvia","Other leisure activities",80,1.3
"Lithuania","Other leisure activities",60,1
"Luxembourg","Other leisure activities",82,1.4
"Mexico","Other leisure activities",41,0.7
"Netherlands","Other leisure activities",100,1.7
"New Zealand","Other leisure activities",85,1.4
"Norway","Other leisure activities",153,2.5
"Poland","Other leisure activities",93,1.6
"Portugal","Other leisure activities",60,1
"Slovenia","Other leisure activities",91,1.5
"Spain","Other leisure activities",84,1.4
"Sweden","Other leisure activities",112,1.9
"Turkey","Other leisure activities",81,1.4
"UK","Other leisure activities",98,1.6
"USA","Other leisure activities",73,1.2
"China","Other leisure activities",52,0.9
"India","Other leisure activities",109,1.8
"South Africa","Other leisure activities",81,1.4
